DESCRIPTION,CATEGORY
Датчик температуры уличный TD-U-1-IP54-PT1000,Автозапчасти и сервис авто
"Подшипник 264706 передний вторичного вала (игольчатый) КПП 3309,3310 (D=30х42мм)",Автозапчасти и сервис авто
Ксефокам 8мг №5 фл,Прочие товары
КОФЕ JACOBS 230ГР МОЛОТЫЙ BARIS.ITTALLIANO Д/П,Продукты питания и напитки
КР Губка Coral куп BABY фигур (мишка) GF01 1/30,Бытовая химия и хозтовары
42212К1М (АМ) (10-ГПЗ) Подшипник роликовый цилиндрический  (NJ212),Автозапчасти и сервис авто
"Кружка Чайная 300мл ООО ""ОСЗ""",Продукты питания и напитки
"ЙП Живой ФМ Злаки 1% 0,280кг пб",Прочие товары
Taboo SALT Laguna 30 мл 12 мг,Прочие товары
Черная смородина 10кг Полтино,Прочие товары
БИНТ ЭЛАСТ. МОДЕЛЬ 9512 СРЕДНЕЙ РАСТЯЖИМОСТИ 5МХ12СМ,Медицинские изделия и расходники
Сеялка пневматическая MAXI-5 6Х70 единая рама с внесением удобрения,Прочие товары
Резин.Шпатель для швов 150мм,Прочие товары
HF4906 Футболка муж.,Одежда и текстиль
H763EX193/ME302723 (Хранение груза на СВХ (крытая площадка)),Прочие услуги
"Монтаж/демонтаж постеров в метро,  3,14*2,3,  Алматы,  Август 2022",Прочие услуги
"СЛАЙСЫ СЕМЬ ЗЛАКОВ 0,100.ГР",Прочие товары
HQ7216 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
"Размещение наружной рекламы на билбордах,  3*4,  Алматы,  Октябрь 2023",Рекламные и маркетинговые услуги
ВЕРМУТ TOTINO 1Л MОJITO,Прочие товары
HZ0689 Куртка муж.,Продукты питания и напитки
СПИРТ КАМФОРНЫЙ 10% 50мл р-р д/нар прим спирт,Прочие товары
Датчик положения распредвала,Лекарства
"Мед. реабилитация и восстановительное лечение 1-го чел в номере ""Standard""Мұратбай Раян Жанатқызы",Прочие услуги
Изготовление стола из МДФ 1600*700,Прочие услуги
Бура 5-водная,Прочие товары
Услуги по продвижению Сервиса Яндекс.Такси в соответствии с п.1.1.1 Договора № OF-14729912/24 от 27.09.2024 г. за Ноябрь 2024г.,Прочие услуги
Z2-10212н Серьги (Ag 925),Ювелирные изделия и аксессуары
GN3516 Олимпийка муж.,Прочие товары
ПЕЧЕНЬЕ ROSHEN 150ГР LOVITA АРАХИС,Продукты питания и напитки
Электроэнергия за апрель м-ц 25г.     ,Прочие товары
"Размещение наружной рекламы на ""Двойной Ситилайт"",  Алматы,  Март 2025",Рекламные и маркетинговые услуги
К135-1107910 Ремкомплект карбюратора для К135,Строительные материалы и отделка
КРУПА ЗДОРОВОЕ МЕНЮ ПШЕНИЧНЫЕ (ГРАНУЛЫ) 200ГР,Продукты питания и напитки
Мед. реабилитация и восстановительное лечение 1-го чел в Полулюкс (deluxe) Амантаева Сауле Амантаевна ,Продукты питания и напитки
БАЛЬЗАМ HERBAL ESSENCES 275мл КЛУБНИКА И СЛАД МЯТА,Продукты питания и напитки
АВЕН НГ 2022 НАБОР Hydrance Rich крем +лосьон +увл крем,Лекарства
CHARDONNAY BLANC 0.75,Прочие товары
Стоматологические услуги п-та Маханова Жанна от 17.08.2024,Продукты питания и напитки
Тенорик. таб. 50мг №28 (Ipca LaboratoriesLimited/Индия),Лекарства
ЧИПСЫ PRINGLES SMALL ПЕРЕЦ 40ГР,Продукты питания и напитки
SMART КРЕМ Д/ОБУВИ ЧЕРНЫЙ Ж/Б 60МЛ,Бытовая химия и хозтовары
ТРЕНТАЛ 400 400мг N20 таб пролонг д-я п.п.о.,Лекарства
Стойкая краска-гель для волос ESTEL ONLY ТОН 10/18 Блондин Пепельно-Жемчужный (125 мл),Лекарства
Аренда автомобильного крана XCMG рег.№ 601DZ01,Аренда оборудования и прочая аренда
23013462 Кольцо (Ag 925),Ювелирные изделия и аксессуары
"Печать постеров, Ситилайт Decaux Флагшток,  Астана,  Октябрь 2023",Рекламные и маркетинговые услуги
"Эмаль ""Eco-lux"" для интерьеров и фасадов ""Радуга-113"" акриловая V-163 9 л",Строительные материалы и отделка
"Пилокарпина гидрохлорид, гл.капли 1% 10мл (Фармак ОАО/УКРАИНА)",Лекарства
"JOHNNIE WALKER BLACK LABEL  12YO 40% Виски шотландский 0,75",Продукты питания и напитки
"ПОРОШОК ЛОСК ГОРНОЕ ОЗЕРО 5,4КГ",Бытовая химия и хозтовары
Разнос 366*263*30мм STARS PLAST,Прочие товары
МАСКА HERBAL ESSENCES 250МЛ АЛОЭ И МАСЛО АВОКАДО,Продукты питания и напитки
АЛЬБУЦИД-DF 30% 10мл капли глаз,Лекарства
GW7401 Бутсы дет. спорт.,Обувь и средства индивидуальной защиты (СИЗ)
ТРОЙНИК ГАЗОВЫХ ШЛАНГОВ ДВ42167 6Х4Х6,Прочие товары
Гипсокартон Knauf Влагост. 9.5мм*2.5м*1.2м,Продукты питания и напитки
"H1221593-051600 F90  DKOL 16*1.5,  TR. 5/16""/фитинг",Прочие товары
"CAIU8689921 (Терм.обработка груженного контейнера 40ф,доставленного по ж/д (собственного)-комплексный)",Транспортно-логистические услуги
"ТВОРОЖОК ЧУДО 115ГР 4,2% КЛУБНИКА",Продукты питания и напитки
GY0045 Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
Z1-8956 Кольцо (Ag 925),Ювелирные изделия и аксессуары
Метран-150CG1(-5...+5 кПа) 2 2 1 1 L3 A M5 D5 2 B1 K01 T0-(Датчик давления-разряжения),Автозапчасти и сервис авто
OOLU8203280 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
"GOOD CAT Мультивитаминное лакомcтво для Кошек ""ВЫВЕДЕНИЕ ШЕРСТИ "" 90 таб. (ш/б=6шт.)",Лекарства
GZ9167 Кроссовки взр.,Обувь и средства индивидуальной защиты (СИЗ)
33013416б Серьги (Ag 925),Ювелирные изделия и аксессуары
КОЛГОТКИ INNAMORE ЖЕНСКИЕ Р.5 LADY 40 NERO,Прочие товары
GT3254 Шорты муж.,Одежда и текстиль
GP0165 Футболка муж.,Одежда и текстиль
IE7369 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
1610069449 Колье (Ag 925),Ювелирные изделия и аксессуары
"GATU1095144 (Оформление док-в по отправке контейнеров,вагонов,платформ)",Транспортно-логистические услуги
СКУМБРИЯ VICI 300ГР ПОТРОШЕНАЯ БЕЗ ГОЛОВЫ Х/К,Прочие товары
"Размещение на Ситилайт(2),  3,14*2,3,  Астана,  Сентябрь 2023",Прочие товары
"Роялти, за право использования Системы и Продукта за период с 01.11.2022 по 30.11.2022",IT-услуги и лицензии
НАКОЛЕННИК ЭЛАСТ. МОДЕЛЬ 102 N2 №3 М,Прочие товары
"Печать постеров, Сениор,  Алматы, Май 2023",Рекламные и маркетинговые услуги
"Шпатлевка для деревянных изделий ""Радуга-0023"" акриловая, цвет бук 0,85 кг",Строительные материалы и отделка
МАСКА Dr.Jart + (Wrinkless Solution),Прочие товары
"Размещение наружной рекламы, Digital Сениор,  Астана,  Май 2025(Приложение)",Рекламные и маркетинговые услуги
"Размещение наружной рекламы на ""Ситилайт Decaux"",  Алматы,  Июль 2022",Рекламные и маркетинговые услуги
ИКРА ЕВРОПРОМ 220ГР ЛОСОСЕВАЯ ИМИТ.ЦАРСКАЯ ОСОБАЯ,Прочие товары
Сооружение закачной скважины №394-11-2,Прочие товары
ПЕРЕЦ SMART 10ГР КРАСНЫЙ МОЛОТЫЙ,Продукты питания и напитки
НАБОР КОНФЕТ РАХАТ 235ГР РАНДЕВУ,Продукты питания и напитки
КРАСКА LOREAL 500 СВЕТЛЫЙ КАШТАН,Строительные материалы и отделка
В 29048550 (Маневровые работы),Прочие товары
"НАПИТОК HOLIDAY ORANGE 1,5Л ГАЗ",Продукты питания и напитки
"Хлопья Овсяные Экстра Семейные закрома, 400 гр.",Продукты питания и напитки
"ПИСТОН КРЕПЛ.ОБИВКИ КАБ., ДВЕР., ЗАД., БОК",Прочие товары
A.KORKUNOV Коллекция Молочн 10*192г,Прочие товары
Услуги по продвижению Сервиса Яндекс.Такси в соответствии с п.1.1.1 Договора № OF-14635087/24 от 23.09.2024 г. за Сентябрь - Октябрь 2024г.,Прочие услуги
ДАБУР ВАТИКА МАСКА ДЛЯ ВОЛОС 500г С ЧЕСНОКОМ,Прочие товары
94100225 Подвеска (Ag925),Автозапчасти и сервис авто
Кориандор,Прочие товары
"«Строительство многоквартирных жилых домов с внутриплощадочными инженерными сетями расположенного по г. Алматы, Турксибский район, мкр. «ЖасКанат».Строительство 9-ти этажного жилого дома Квартал № 12 Жилой дом № 39» (Кладка внутренных стен и перегородок)",Прочие услуги
"КЕФИР НОВЫЙ ДЕНЬ 0,9л 1% П/П",Продукты питания и напитки
ПЕЧЕНЬЕ СДОБ ОСОБОЕ ОВСЯНОЕ 250Г,Продукты питания и напитки
"Наземный боковой огонь ВПП малой интенсивности, 45Вт/6.6А белый/белый, в полном объеме поставки",Лекарства
"Бат.Smart Formula Фрукт,орехи и прот в гор.шок 40г",Продукты питания и напитки
Регулировка зажигания,Прочие товары
"Размещение наружной рекламы, Digital Сениор,  3,14*2,3,  Астана,  Август 2023",Рекламные и маркетинговые услуги
"Печать постеров, Билборд,  Кызылорда,  Май 2025",Рекламные и маркетинговые услуги
"3205-3509001У Ремкомплект прокладок (6 наим.) компрессора с водяным охлаждением для а/м ПАЗ,Бычок (паронит)",Строительные материалы и отделка
Peculiar Mr Pat Merlot 0.75,Прочие товары
"Транспортные услуги РК, г. Алматы - РК, п. Саукалколь",Прочие услуги
"Сапоги ""SAVEL-Европа"", ПКП, иск. мех, ПУ-ТПУ р.42",Обувь и средства индивидуальной защиты (СИЗ)
"Монтаж/демонтаж постеров, Двойной ситилайт,  Алматы,    Июль 2023, Август 2023",Прочие услуги
"МОЛОКО LACTEL ДОМАШНЕЕ 1Л 1,5% Т/П",Продукты питания и напитки
РАСЧЕСКА SOLOMEYA WET Д/СУХ./ВЛ.ЛАВАНДА MZ0015,Прочие товары
МЫЛО ЖИДКОЕ MILANA 1л МАНГО ЛАЙМ,Бытовая химия и хозтовары
"АССОРТИ 1,5Л №2 ТВИСТ (ЦАРСКИЕ) GLOBUS PLUS",Прочие товары
"Транспортные услуги по маршруту:  г.Астана- СКО, с.Новоишимское, авто MERSEDES 118SBZ10/28SAZ10",Прочие услуги
АУРА ЖИДКОЕ МЫЛО 500МЛ,Бытовая химия и хозтовары
Ausrüstungen für Bypassanzeiger / Комплектующие детали для байпасного указателя уровня УПБ Schwimmer HCP50/185/P48X/ Поплавок HCP50/185/P48X,Строительные материалы и отделка
"NIDU5136557 (Услуги СВХ 0,2%)",Прочие услуги
Продвижение товара путём предоставления скидки потребителю с 01.10.2022г. до 15.10.2022 г.,Прочие товары
TBJU2278249 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
"Лимоначчо 1,5л PP Буратино безалкогольный среднегазированный напиток",Продукты питания и напитки
Напильник полукруглый 250 мм №1 сталь У13А Сибртех 163397,Прочие товары
ПОЯС ВУЛКАН КЛАССИК ДЛЯ ПОХУДЕНИЯ 100Х19СМ,Прочие товары
АУРА САЛФЕТКИ ВЛАЖНЫЕ N120 АНТИБАКТЕРИАЛЬНЫЕ С КРЫШКОЙ,Бытовая химия и хозтовары
"Аренда Контейнер 20 тн , инв. № 421, за октябрь 2024г.",Транспортно-логистические услуги
ПОДУШКА ОРТОПЕДИЧЕСКАЯ ТОП-101 ДЛЯ ДЕТЕЙ ОТ 3 ЛЕТ,Прочие товары
"Краска ""EKO Life"" моющаяся гипоаллергенная акриловая N-027 24 кг",Строительные материалы и отделка
КРЕМ ДЛЯ НОГ МОЖЖЕВЕЛОВЫЙ 50ГР,Бытовая химия и хозтовары
Портативный станок для резки профилей Yilmaz KD310 ,Продукты питания и напитки
Изготовление и монтаж стенда их пвх,Прочие услуги
ЭСЛОТИН 5мг N10 таб п.п.о.,Лекарства
"161.1301010-01 радиатор водяной (ОЖД) (В12, от 27.06.24)",Автозапчасти и сервис авто
РАСКРАШИВАЕМ ПО ЦИФРАМ. В ЛЕСУ,Прочие товары
TRLU8201729 (Хранение груженного контейнера на СВХ 40ф),Транспортно-логистические услуги
Деффектовка кардана,Автозапчасти и сервис авто
ПРЕГАБИН 150МГ N30 капс,Лекарства
Перчатки кожаные,Прочие товары
Краска Colomix светло-серая 1 л,Строительные материалы и отделка
GLDU2267872 (Хранение груженного контейнера в обычной зоне 20ф),Транспортно-логистические услуги
"Размещение наружной рекламы на ""Ситилайт Decaux"",  1,19*1,75,  Нур-Султан,    Сентябрь 2022",Рекламные и маркетинговые услуги
Грецкий орех вес,Продукты питания и напитки
Простые письма РК,Прочие товары
"Эмаль ультрастойкая для фасадов и интерьеров ""Arcobaleno Castello"" V-156 9 л",Строительные материалы и отделка
КОЛБАСА БУТЕРБРОДЫЧ 500ГР СЕМЕЙНАЯ РУБИКОМ ВАРЕНАЯ,Продукты питания и напитки
Вкладыши Д-260 (ЗМЗ) К Н1  1005100,Прочие товары
Спирт этиловый 70% 50 мл 020323,Прочие товары
МЫЛО ХОЗЯЙСТВЕННОЕ 65% 250ГР,Бытовая химия и хозтовары
Z3-10654 Подвеска (Ag 925),Ювелирные изделия и аксессуары
"3635 MONGE CAT GRILL STERILISED COCKEREL \ КУСОЧКИ ДЛЯ СТЕРИЛИЗОВАННЫХ С ИТАЛЬЯНСКОЙ КУРИЦЕЙ,85 гр",Одежда и текстиль
"Концевой выключатель 10А, GLDB01C HONEYWELL",Прочие товары
"Фара доп-я АЕ48S-16Led-25PS Slim квадртная, рассеиваемый свет, 16 диодов 48W(110x28x140) 12/24V",Автозапчасти и сервис авто
МОРОЖЕНОЕ ШИН-ЛАЙН 90ГР БОМБА ЭСКИМО ШОКОЛ/ПЕЧ,Продукты питания и напитки
Сапоги зимнии,Обувь и средства индивидуальной защиты (СИЗ)
ФИТОЧАЙ СТЕВИЯ 1г N20,Продукты питания и напитки
Использование ж/д тупика за октябрь  2023г.,Прочие товары
"Аренда Блок бесперебойного питания Invertec V350 PRO в компл.с пультом и удлинит.пульта,и/н 1328, за октябрь 2024г.",Аренда оборудования и прочая аренда
2381805 Кольцо (Ag 925),Ювелирные изделия и аксессуары
СОУС BARILLA 400гр ТОМАТНЫЙ С ОЛИВКАМИ ЧЕРН/ЗЕЛ,Продукты питания и напитки
2-189-6 Крест (Ag 925),Ювелирные изделия и аксессуары
"Гроприносин, табл. 500мг №20 (Гедеон Рихтер/Польша)",Лекарства
FT9622 Футболка жен.,Одежда и текстиль
ПЕЧЕНЬЕ ПОДСОЛНЕЧНОЕ,Продукты питания и напитки
СЕЛЕДОЧКА АС 200ГР ПОДКОПЧЕНАЯ В МАСЛЕ С УКРОПОМ,Продукты питания и напитки
"Аренда Полуприцеп-тяжеловоз ЧМЗАП-9990,г/н 80DOA02, за ноябрь 2024г.",Аренда оборудования и прочая аренда
"Пакет подарочный «Выглядишь на все 100», крафт, 24 х 10 х 30 см",Прочие товары
Кубок,Прочие товары
ПИРОГ МИШКА,Прочие товары
КРОНШТЕЙН БОКОВОЙ ПРАВЫЙ,Оборудование и инструмент
Регулятор напряжения 612.3702-07 (в сборе с ЩУ),Прочие товары
Погрузо-разгрузочные работы за 23.05.2025г.,Прочие товары
О.В. ПРОКОМФОРТ ТАМПОНЫ N16 супер,Продукты питания и напитки
LENOR Конц д/белья Цв ШелкАкации 1.785л,Прочие товары
LYGU3043919 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
FK6802 Футболка жен.,Одежда и текстиль
БАЛЬЗАМ HEAD & SHOULDERS 275мл ГЛУБОКОЕ УВЛАЖНЕНИЕ,Бытовая химия и хозтовары
сертификат о соответствии   ТОО «Orchestra.kz  O KIDS ,Прочие товары
КОНИНА БИЖАН 338гр ТУШЕНАЯ ВЫСШИЙ СОРТ,Прочие товары
"Крем для рук ""Стеризол СОФТ"" без запаха  0,7 л",Бытовая химия и хозтовары
"Олазоль + Пантенол аэрозоль крем косметический 80,0",Лекарства
"За услуги охраны, за декабрь  2022 г.",Прочие услуги
94070470 Колье (Ag 925),Ювелирные изделия и аксессуары
В 29183373 (Пломба метал..),Прочие товары
"Конфеты глазированные из марципана ""Марципановая картошка""",Продукты питания и напитки
Вал ВОМ МТЗ-80 8-ми шлицев. 70-4202018,Автозапчасти и сервис авто
"Согласование эскизов,  Актау,  Октябрь 2022",Прочие товары
Услуги  по разгрузочно-погрузочным работам (11.04.2025г.),Прочие услуги
БЫСТРОВ КАША ГРЕЧНЕВ АССОРТИ,Продукты питания и напитки
Короб из фанеры для перевозки алюминевых боксов 1220*1220*1070 12мм,Транспортно-логистические услуги
"ЙОГ ПРОДУКТ EHRMANN ЭРМИГУРТ 100г 3,2% АНАНАС ДЫНЯ",Прочие товары
"ГОРШОК ПРОТЕЯ 0,7 Л ЛАЙМ ПР11-50",Прочие товары
Изготовление и монтаж вывески APEC Hotel  3.59х1.56м,Прочие услуги
Лампа HB1 12 8V 65/45W,Прочие товары
ШЛАНГИ ДЛЯ ПЫЛЕОТСОСАD=200мм WIRE TRU-Z,Прочие товары
TLHU7561629 (Хранение груженного контейнера в обычной зоне 40ф),Транспортно-логистические услуги
ГЛЮКОМЕТР FORA G30a COMFORT plus,Медицинские изделия и расходники
Приобретение цемент для школ Панфиловского района ,Строительные материалы и отделка
Работы по изготовлению рекламных/информационных и аналогичных конструкций,Рекламные и маркетинговые услуги
AF свекла очищенная целая 5 кг,Прочие товары
Водостоки,Прочие товары
Фонарь задний многофункциональный  7303.3716,Прочие товары
консерва мясная,Прочие товары
53012060Д Подвеска (Ag 925),Ювелирные изделия и аксессуары
"Клион Д 100*, таб. ваг. 100мг №10 [QR] (Gedeon Richter Ltd./ВЕНГРИЯ)",Лекарства
Ролик  ГРМ   T6 / SUNRAY  скорая,Прочие товары
"МАСЛО ГОРМОЛЗАВОД 200ГР СЛИВОЧНОЕ 72,5%",Продукты питания и напитки
КОРМ ДЛЯ СОБАК FRISKIES 10КГ С МЯСОМ,Зоотовары
"Пюре желтый персик ""АГРОБАР"" 1 кг",Продукты питания и напитки
Авитабс актив Вумен таб. №30(для женщин),Лекарства
Шампунь для волос LUXURY VOLUME ESTEL HAUTE COUTURE (30 мл),Бытовая химия и хозтовары
Пусконаладочные работы газового отопительного бойлера KDB-735 GTD,Оборудование и инструмент
13100610420 Подвеска (Ag 925),Ювелирные изделия и аксессуары
Перец черн.мол.кг,Продукты питания и напитки
КРЕМ ВЕСНА 45МЛ ЧЕРЕДА,Бытовая химия и хозтовары
Диск сцепл. наж.в сборе Т-40,Прочие товары
CLHU8867140 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
Аренда Спортивного зала ,Аренда оборудования и прочая аренда
ГНЕЗДО ПИСТОНА,Прочие товары
Холодильная ветрина Artel HS,Прочие товары
"Корабль в упаковке модель""SAN FELIPE""",Прочие товары
Калькулятор для офиса,Прочие товары
КРЕМ ДЛЯ РУК NIVEA 75мл ОЛИВКОВОЕ МАСЛО,Продукты питания и напитки
OGX ШАМПУНЬ С АРГАНОВЫМ МАСЛОМ 385 МЛ,Бытовая химия и хозтовары
Преобразователь Liquiline CM448  CM448-GR26A31AABAA+AI,Прочие товары
МАСЛО ЛУКОЙЛ ТМ-4 80W90 GL-4 1Л,Продукты питания и напитки
Гидроцилиндр,Автозапчасти и сервис авто
STIMUL RIGARD 5 3 м 1 класс,Прочие товары
КРЕМ-БАЛЬЗАМ  ДЛЯ РУК Я САМАЯ 80мл,Бытовая химия и хозтовары
Подушка под пружину передняя,Прочие товары
Услуги самосвала грузоподъемностью от 20 до 25 тонн Vivaldi - 1,Прочие услуги
"ЙОГУРТ АЛПЕНЛАНД АЛЬПИЙСКИЙ КЛУБНИКА 0,3% 320гр",Продукты питания и напитки
"ЭНЕРГЕТИЧЕСКИЙ НАПИТОК RED BULL 0,25л GREEN EDITIO",Продукты питания и напитки
:PPV Шмп Интенсивное восстановление 900мл,Прочие товары
"Размещение наружной рекламы, Digital Сениор SMN,  Алматы,  Ноябрь 2024",Рекламные и маркетинговые услуги
Сооружение закачной скважины №401-7-10/1,Прочие товары
Картридж hp 151 x,Офисная техника и расходники
КУРТ ЭКОДОМ 50гр СОЛЕНЫЙ С БАЗИЛИКОМ ВАКУММ,Продукты питания и напитки
ГЕЛЬ ЧИСТЯЩИЙ CIF 750МЛ ЦВЕТОЧНЫЙ БУКЕТ,Лекарства
Замена  фотобарабана для драм cf 219 a,Автозапчасти и сервис авто
ВЫКЛЮЧАТЕЛЬ ВНУТРЕННЕГО ОСВЕЩЕНИЯ,Прочие товары
мороженое клубн,Продукты питания и напитки
"М/е пломбир с клуб напол ""Из молочного края"" 12%, ведерко 270г/6 (В3)",Прочие товары
HB9380 Футболка жен.,Одежда и текстиль
БЕЛЫЙ ЛЕН МУСС ДЛЯ УМЫВАНИЯ ОТБЕЛИВАЮЩИЙ 150мл Ф24,Прочие товары
Золотой Стандарт 100/ПМ В ГЛАЗУРИ ЭСК 28*70 (100 МЛ),Ювелирные изделия и аксессуары
"Принтер 3 в 1(печать,сканер,копия)",Офисная техника и расходники
МАСЛО ПАЧУЛИ ЭФИРНОЕ 10мл,Продукты питания и напитки
Конверт А5,Канцтовары и упаковка
"МОЛОКО ШАДРИНСКОЕ 500МЛ КОНЦЕНТРИРОВАННОЕ 7,1%",Продукты питания и напитки
Знак дорожный 2.3.2 А 700 Тип 2,Прочие товары
"Хомут 032-050мм, оцинкованный ""Автомагнат""",Автозапчасти и сервис авто
УНДЕВИТ АЛТАЙВИТАМИНЫ 1г N50 драже (БАД),Продукты питания и напитки
ЖГУТ КМПСУД,Прочие товары
СУХАРИ ТРАПЕЗА 350ГР МОЛОЧНЫЕ,Продукты питания и напитки
Аренда жилья,Аренда оборудования и прочая аренда
ЙОГУРТ ПИТЬЕВОЙ АКТИМЕЛЬ 95ГР ЗЕМЛЯНИКА-ШИПОВНИК,Продукты питания и напитки
Линейка,Прочие товары
TGHU0765698 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
Ножницы канцелярские,Канцтовары и упаковка
Шестерня КПП ЗИЛ-130 3-й передачи промеж.вала,Автозапчасти и сервис авто
KMOU1222846 (Хранение груженного контейнера в обычной зоне 20ф),Транспортно-логистические услуги
Грузоперевозки  Актобе  Актау,Транспортно-логистические услуги
"ВОДА ТАССАЙ СО ВКУСОМ МАЛИНЫ 0,5Л НЕГАЗ  ПЛАСТИК",Продукты питания и напитки
Mr.Buffalo пауч ADULT 85г (цыпленок в соусе) д/кошек,Продукты питания и напитки
"Аренда оптического кабеля связи (г.Караганда, пр.Строителей, 35 - пр.Бухар-Жырау, 63) - 6,621 км за сентябрь 2024",Офисная техника и расходники
Ж\М MAXIMA 5 Л,Прочие товары
"Краска ""Extra"" для фасадов и интерьеров ""Радуга-114"" акриловая Y-065 9 л",Строительные материалы и отделка
"1 Профлист H65 0,80",Строительные материалы и отделка
NP Extra Salmon Adult All breed dog 12kg корм для собак,Зоотовары
180306(6306 2RS) подшипник,Автозапчасти и сервис авто
АЗАМАТ СОК ГРАНАТОВЫЙ 1Л,Продукты питания и напитки
"Монтажный набор Mounting bracket adjustable, 316L  71325079",Прочие услуги
"ЭЛ МОТОР 8ВТ, 230В\50ГЦ",Прочие товары
"Triol Миска металлическая на резинке ""Стрекоза"", 0,25л",Прочие товары
Канализация Пассажирский цех,Прочие товары
Стоматологические  услуги п-та Салимова Алуа от 08.06.2024,Продукты питания и напитки
FY2117 Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
"Знак дорожный 2.4 ""Уступи дорогу"" А 900 Тип 1",Прочие товары
Люк чугунный с шарниром и замком тип Т,Прочие товары
1 сынып матем 2 болім,Прочие товары
"Нов.под. Степашка м/у 0,800",Прочие товары
BLAZE ON ICE Raspberry Grape Burst 100 мл 3 мг,Прочие товары
Абонплата за февраль ,Транспортно-логистические услуги
IA3114 Костюм дет. спорт.,Одежда и текстиль
16-1560 Колье (Ag 925),Ювелирные изделия и аксессуары
ПАСТА ТВОРОЖНАЯ AMIRAN 100г 9% ДЕТСКАЯ,Продукты питания и напитки
94030889 Подвеска (Ag 925),Ювелирные изделия и аксессуары
"Монтаж/демонтаж постеров,  Шымкент,  Декабрь 2022",Прочие услуги
H02730 Кроссовки дет. спорт.,Обувь и средства индивидуальной защиты (СИЗ)
САЛФЕТКА СПИРТОВАЯ N100 65*60MM,Бытовая химия и хозтовары
КОЖУХ ВЕНТИЛЯТОРА (УАЗ),Офисная техника и расходники
Защита картера Mitsubishi L200  (4части),Прочие товары
Смекта 3гр №10 пор в пак,Прочие товары
"ПАСТА ТВОРОЖНАЯ 3,5% 120ГР КОКОС-МИНДАЛЬ",Продукты питания и напитки
Проживание Георгий Позняков  c 16.11.2023г по 17.11.2023г.,Прочие услуги
Коммунальные услуги за март,Прочие услуги
"Гайковерт с головками 32 мм,33 мм.БелАК",Прочие товары
Хомуты метал. MINI 12-14мм ширина 9мм винтовые W4 2шт. 475043,Автозапчасти и сервис авто
СИЛА СУПЕР-КЛЕЙ СВЕРХПР 3ГР BL-12,Продукты питания и напитки
"TRLU8201729 (Услуги СВХ 0,2%)",Прочие услуги
Коммунальные услуги /э/энергия/,Прочие услуги
ПОДШИПНИК 3622,Автозапчасти и сервис авто
94011749 Кольцо (Ag 925),Ювелирные изделия и аксессуары
:SAFEGUARD Мыло Классическое Белое 125г,Бытовая химия и хозтовары
Погрузо-разгрузочные работы за 22.10.2024г.,Прочие товары
1610018279 Колье (Ag 925),Ювелирные изделия и аксессуары
Трубка медная д06,Прочие товары
HB9876 Костюм дет. спорт.,Одежда и текстиль
МЕХАНИЗМ НАТЯЖЕНИЯ РЕМНЯ ГАЗЕЛЬ ДВ. СUMMINS ISF 2.8 ЕВРО-6,Автозапчасти и сервис авто
Тягач Renault,Автозапчасти и сервис авто
"OOLU2856673 (Разгрузка/погрузка механизированная с вагона,из контейнера,авто)",Транспортно-логистические услуги
B75571 Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
КОТЕКС УЛЬТРА НОЧНЫЕ 7 ЭКОНОМИЯ,Прочие товары
ЧИПСЫ РУССКАЯ КАРТОШКА  80ГР КУРИЦА,Продукты питания и напитки
HWJU3160965 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
SE A9C20842 Модульный контактор iCT40A 2НО 220/240В АС 50ГЦ,Прочие товары
Маска интенсивная для волос ESTEL PRO SALON PRO.ВОССТАНОВЛЕНИЕ  (500 мл),Прочие товары
"Фиточай важные травы,сахар в норме",Продукты питания и напитки
"Размещение наружной рекламы на Сениорах,  3,14*2,3,  Нур-Султан,  Октябрь 2022",Рекламные и маркетинговые услуги
"Эмаль ""Eco-lux"" для интерьеров и фасадов ""Радуга-113"" акриловая F-024 /-40%/ 9 л",Строительные материалы и отделка
Скумбрия х/к вакуум вес,Прочие товары
FY5441 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
"Услуги по предоставлению в аренду емкости транспондера (В11) в луче №2  КА ""KazSat-3"",с 01.12.2022 г. по 31.12.2022 г.",Прочие услуги
СМЕТАННЫЙ ПРОДУКТ АКУ АЛАТАУ 700ГР 20% ДОМАШНЯЯ,Прочие товары
1 сынып Жараталыстану,Прочие товары
СМЕСЬ НАН-1 ОПТИПРО 400г 0МЕС.+,Прочие товары
94023519 Серьги (Ag 925),Ювелирные изделия и аксессуары
Датчик температуры ДТС-100 П.С3.Ex-Т1,Автозапчасти и сервис авто
Морожный ванильное 3кг,Прочие товары
